problem,wants_search,answer,truth,correct
What is 2 + 48?,True,50,50,True
What is 16 times 15?,True,240,240,True
What is 48 - 7?,True,"40 - 7 = 33, 8 - 7 = 1, so 48 - 7 = 41",41,False
What is 38 + 28?,True,68,66,False
What is 2 + 6?,True,8,8,True
What is 33 - 15?,True,18,18,True
What is 36 + 13?,True,49,49,True
What is 32 divided by 4?,True,8,8,True
What is 1 times 49?,False,49,49,True
What is 45 - 28?,True,17,17,True
What is 18 times 10?,True,180,180,True
What is 49 - 22?,True,27,27,True
What is 6 + 25?,True,31,31,True
What is 23 + 23?,True,46,46,True
What is 3 times 47?,True,141,141,True
What is 18 divided by 9?,True,2,2,True
What is 18 divided by 2?,True,9,9,True
What is 41 times 40?,True,1640,1640,True
What is 37 times 13?,True,481,481,True
What is 3 + 43?,True,46,46,True
What is 50 - 19?,True,30,31,False
What is 15 + 7?,True,22,22,True
What is 40 divided by 5?,True,8,8,True
What is 11 times 24?,True,264,264,True
What is 14 times 43?,True,602,602,True
What is 45 times 44?,False,1980,1980,True
What is 39 + 41?,True,80,80,True
What is 47 - 35?,True,12,12,True
What is 30 - 11?,True,19,19,True
What is 55 divided by 5?,True,11,11,True
What is 44 - 21?,True,23,23,True
What is 15 + 3?,True,21,18,False
What is 26 times 18?,True,754,468,False
What is 14 + 37?,True,51,51,True
What is 14 times 42?,True,588,588,True
What is 77 divided by 7?,True,11,11,True
What is 15 divided by 3?,True,5,5,True
What is 48 - 16?,True,32,32,True
What is 48 times 38?,True,1824,1824,True
What is 70 divided by 10?,True,7,7,True
What is 15 times 9?,True,135,135,True
What is 2 divided by 2?,True,1,1,True
What is 10 + 41?,True,52,51,False
What is 44 - 28?,True,16,16,True
What is 25 + 25?,False,50,50,True
What is 45 divided by 9?,True,5,5,True
What is 44 + 47?,True,91,91,True
What is 44 + 35?,True,79,79,True
What is 50 times 42?,True,2000,2100,False
What is 8 times 19?,True,152,152,True
What is 24 divided by 3?,True,8,8,True
What is 47 + 47?,False,47 + 47 = 94,94,False
What is 33 times 49?,True,1666,1617,False
What is 33 - 7?,True,27,26,False
What is 41 times 33?,True,1361,1353,False
What is 24 - 10?,True,14,14,True
What is 50 - 35?,False,15,15,True
What is 39 + 21?,True,60,60,True
What is 2 divided by 1?,True,2,2,True
What is 20 times 16?,True,320,320,True
